Project executed on 28-05-2024 at 12:53:26.
main.cpp(13): Application start
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (7, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
TileMap.cpp(221): Error: Index out of bounds. Tile map dimensions: 16x14. Given index: (8, -1)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
Text.cpp(67): Internal error, character index invalid when drawing text: (-3,0)
